site,lat,lon,anchor_source
1. Landers Gully,-35.004313,116.624809,point
1. Landers Gully,-35.005394,116.641529,point
2. Coastal Heath at end of Thomas's,-35.006884,116.632054,point
2. Coastal Heath at end of Thomas's,-35.005394,116.641529,point
3. Log 54,-34.991013,116.653182,point
4. Mystical Tingle Spider Tour,-34.992647,116.644488,point
5. Bird Walk Along Shedley,-34.998345,116.630994,point
6. Deep River Ridge,-34.988039,116.633984,point
7. Jarrah Woodland : Intro to Blitzing,-34.991773,116.63576,point
8. Gloria's Rock Cultural,-34.956425,116.596133,point
8. Gloria's Rock Cultural,-34.95715,116.595716,point
9. Aldridge Cove,-35.01693,116.636258,point
9. Aldridge Cove,-35.046606,116.644945,point
9. Aldridge Cove,-35.047412,116.657727,point
10. Powerline Peat,-34.980174,116.665435,point
10. Powerline Peat,-34.980733,116.66859,point
10. Powerline Peat,-34.984461,116.668352,point
11. Small Fauna Trapping 1,-35.005087,116.652314,track vertices
11. Small Fauna Trapping 1,-35.005035,116.652076,track vertices
11. Small Fauna Trapping 1,-35.004908,116.651811,track vertices
11. Small Fauna Trapping 1,-35.004681,116.651546,track vertices
11. Small Fauna Trapping 1,-35.00453,116.651431,track vertices
11. Small Fauna Trapping 1,-35.004429,116.651283,track vertices
11. Small Fauna Trapping 1,-35.004328,116.651137,track vertices
11. Small Fauna Trapping 1,-35.004253,116.651049,track vertices
11. Small Fauna Trapping 1,-35.004178,116.65093,track vertices
11. Small Fauna Trapping 1,-35.004078,116.650811,track vertices
11. Small Fauna Trapping 1,-35.003977,116.650636,track vertices
11. Small Fauna Trapping 1,-35.003853,116.650427,track vertices
11. Small Fauna Trapping 1,-35.003753,116.65025,track vertices
11. Small Fauna Trapping 1,-35.003728,116.650222,track vertices
11. Small Fauna Trapping 1,-35.003504,116.650073,track vertices
11. Small Fauna Trapping 1,-35.003305,116.649991,track vertices
11. Small Fauna Trapping 1,-35.00318,116.649936,track vertices
11. Small Fauna Trapping 1,-35.00298,116.649857,track vertices
11. Small Fauna Trapping 1,-35.002881,116.649859,track vertices
11. Small Fauna Trapping 1,-35.002757,116.649865,track vertices
11. Small Fauna Trapping 1,-35.002633,116.649929,track vertices
11. Small Fauna Trapping 1,-35.002509,116.649964,track vertices
11. Small Fauna Trapping 1,-35.00236,116.650029,track vertices
11. Small Fauna Trapping 1,-35.002236,116.650034,track vertices
11. Small Fauna Trapping 1,-35.002088,116.65016,track vertices
11. Small Fauna Trapping 1,-35.001989,116.650195,track vertices
11. Small Fauna Trapping 1,-35.001766,116.650297,track vertices
11. Small Fauna Trapping 1,-35.001618,116.650366,track vertices
11. Small Fauna Trapping 1,-35.00147,116.650435,track vertices
11. Small Fauna Trapping 1,-35.001322,116.650536,track vertices
11. Small Fauna Trapping 1,-35.001101,116.650642,track vertices
11. Small Fauna Trapping 1,-35.000953,116.650743,track vertices
11. Small Fauna Trapping 1,-35.000806,116.650844,track vertices
11. Small Fauna Trapping 1,-35.000684,116.650913,track vertices
11. Small Fauna Trapping 1,-35.000538,116.650983,track vertices
11. Small Fauna Trapping 1,-35.00044,116.651048,track vertices
11. Small Fauna Trapping 1,-35.000221,116.651178,track vertices
11. Small Fauna Trapping 1,-35.000124,116.651273,track vertices
11. Small Fauna Trapping 1,-34.999979,116.65137,track vertices
11. Small Fauna Trapping 1,-34.999858,116.651466,track vertices
